#curie_map:
#  chmo: http://purl.obolibrary.org/obo/CHMO_
#  fix: http://purl.obolibrary.org/obo/FIX_
#  goldbook: https://goldbook.iupac.org/terms/view/
#  orcid: https://orcid.org/
#  panet: http://purl.org/pan-science/PaNET/PaNET
#  rex: http://purl.obolibrary.org/obo/REX_
#  semapv: https://w3id.org/semapv/vocab/
#  skos: http://www.w3.org/2004/02/skos/core#
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: https://github.com/nfdi-de/section-metadata-wg-onto/raw/refs/heads/main/sssom/data/positive.sssom.tsv
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date
chmo:0000004	amperometry	skos:exactMatch	fix:0000783	amperometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000004	amperometry	skos:exactMatch	goldbook:09128	amperometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000005	chrono-amperometry	skos:exactMatch	fix:0000785	chronoamperometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000005	chrono-amperometry	skos:exactMatch	goldbook:09129	chronoamperometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000010	conductometry	skos:exactMatch	goldbook:09166	conductometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000012	coulometry	skos:exactMatch	goldbook:09159	coulometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000014	chrono-coulometry	skos:exactMatch	fix:0000786	chronocoulometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000014	chrono-coulometry	skos:exactMatch	goldbook:09156	chronocoulometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000016	potentiometry	skos:exactMatch	fix:0000775	potentiometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000016	potentiometry	skos:exactMatch	goldbook:09127	potentiometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000017	chrono-potentiometry	skos:exactMatch	fix:0000780	chronopotentiometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000017	chrono-potentiometry	skos:exactMatch	goldbook:09126	chronopotentiometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000021	controlled-current potentiometry	skos:exactMatch	fix:0000778	controlled-current potentiometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000024	voltammetry	skos:exactMatch	goldbook:09148	voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000025	cyclic voltammetry	skos:exactMatch	fix:0000099	cyclic voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000025	cyclic voltammetry	skos:exactMatch	goldbook:09134	cyclic voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000026	fast-scan cyclic voltammetry	skos:exactMatch	fix:0000761	fast-scan cyclic voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000027	hydrodynamic voltammetry	skos:exactMatch	fix:0000792	hydrodynamic voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000027	hydrodynamic voltammetry	skos:exactMatch	goldbook:09138	hydrodynamic voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000028	linear-sweep voltammetry	skos:exactMatch	fix:0000791	linear sweep voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000030	differential pulse voltammetry	skos:exactMatch	goldbook:09136	differential pulse voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000031	normal pulse voltammetry	skos:exactMatch	goldbook:09142	normal pulse voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000032	polarography	skos:exactMatch	fix:0000794	polarography	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000032	polarography	skos:exactMatch	goldbook:P04716	polarography	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000033	alternating current polarography	skos:exactMatch	fix:0000814	alternating current polarography	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000035	square-wave polarography	skos:exactMatch	fix:0000816	square-wave polarography	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000036	differential pulse polarography	skos:exactMatch	fix:0000813	differential pulse polarography	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000037	normal pulse polarography	skos:exactMatch	fix:0000812	normal pulse polarography	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000039	tast polarography	skos:exactMatch	fix:0000795	Tast polarography	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000040	square-wave voltammetry	skos:exactMatch	goldbook:09147	square-wave voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000041	stripping voltammetry	skos:exactMatch	goldbook:09155	stripping voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000042	anodic stripping voltammetry	skos:exactMatch	goldbook:09152	anodic stripping voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000046	adsorptive stripping voltammetry	skos:exactMatch	goldbook:09151	adsorptive stripping voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000047	cathodic stripping voltammetry	skos:exactMatch	goldbook:09153	cathodic stripping voltammetry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000050	infrared microscopy	skos:exactMatch	panet:01178	infrared microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000053	imaging mass spectrometry	skos:exactMatch	goldbook:12431	imaging mass spectrometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000061	flow cytometry	skos:exactMatch	goldbook:13152	flow cytometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000064	fluorescence resonance energy transfer	skos:exactMatch	goldbook:FT07378	fluorescence resonance energy transfer	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000065	fluorescence recovery after photobleaching	skos:exactMatch	fix:0000867	fluorescence recovery after photobleaching	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000067	microscopy	skos:exactMatch	panet:01069	microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000068	electron microscopy	skos:exactMatch	panet:01145	electron microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000073	scanning electron microscopy	skos:exactMatch	goldbook:S05484	scanning electron microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000080	transmission electron microscopy	skos:exactMatch	goldbook:T06481	transmission electron microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000086	scanning transmission electron microscopy	skos:exactMatch	goldbook:S05486	scanning transmission electron microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000097	ion microscopy	skos:exactMatch	goldbook:I03221	ion microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000102	optical microscopy	skos:exactMatch	panet:01179	optical microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000112	scanning probe microscopy	skos:exactMatch	fix:0000121	scanning probe microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000112	scanning probe microscopy	skos:exactMatch	panet:01148	scanning probe microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000113	atomic force microscopy	skos:exactMatch	fix:0000114	atomic force microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000113	atomic force microscopy	skos:exactMatch	goldbook:09452	atomic force microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000113	atomic force microscopy	skos:exactMatch	panet:01318	atomic force microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000115	magnetic force microscopy	skos:exactMatch	fix:0000118	magnetic force microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000120	scanning near-field optical microscopy	skos:exactMatch	fix:0000385	scanning near-field optical microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000120	scanning near-field optical microscopy	skos:exactMatch	goldbook:09202	scanning near-field optical microscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000141	diffraction method	skos:exactMatch	fix:0000217	diffraction method	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000145	transmission high energy electron diffraction	skos:exactMatch	goldbook:T06483	transmission high energy electron diffraction	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000146	reflection high energy electron diffraction	skos:exactMatch	goldbook:R05238	reflection high energy electron diffraction	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000147	low energy electron diffraction	skos:exactMatch	goldbook:L03631	low energy electron diffraction	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000152	photoelectron diffraction	skos:exactMatch	panet:01167	photoelectron diffraction	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000155	X-ray photoelectron diffraction	skos:exactMatch	panet:01284	x-ray photoelectron diffraction	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000156	X-ray diffraction	skos:exactMatch	panet:01216	x-ray diffraction	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000164	electron scattering	skos:exactMatch	fix:0000401	electron scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000164	electron scattering	skos:exactMatch	rex:0000355	electron scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000166	light scattering	skos:exactMatch	fix:0000402	light scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000166	light scattering	skos:exactMatch	goldbook:L03525	light scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000166	light scattering	skos:exactMatch	panet:01185	light scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000166	light scattering	skos:exactMatch	rex:0000349	light scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000167	dynamic light scattering	skos:exactMatch	goldbook:12275	dynamic light scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000179	small-angle light scattering	skos:exactMatch	fix:0000254	small-angle light scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000180	static light scattering	skos:exactMatch	goldbook:12274	static light scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000181	neutron scattering	skos:exactMatch	panet:01242	neutron scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000181	neutron scattering	skos:exactMatch	rex:0000354	neutron scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000183	elastic neutron scattering	skos:exactMatch	rex:0000359	elastic neutron scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000184	small-angle neutron scattering	skos:exactMatch	panet:01189	small angle neutron scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000185	grazing incidence small-angle neutron scattering	skos:exactMatch	panet:01276	grazing incidence small angle neutron scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000186	ultra small angle neutron scattering	skos:exactMatch	panet:01240	ultra small angle neutron scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000192	inelastic neutron scattering	skos:exactMatch	rex:0000360	inelastic neutron scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000200	X-ray scattering	skos:exactMatch	fix:0000073	X-ray scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000200	X-ray scattering	skos:exactMatch	panet:01184	x-ray scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000200	X-ray scattering	skos:exactMatch	rex:0000361	X-ray scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000201	inelastic X-ray scattering	skos:exactMatch	panet:01182	inelastic x-ray scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000201	inelastic X-ray scattering	skos:exactMatch	rex:0000363	inelastic X-ray scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000202	resonant inelastic X-ray scattering	skos:exactMatch	goldbook:08541	resonant inelastic X-ray scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000202	resonant inelastic X-ray scattering	skos:exactMatch	panet:01183	resonant inelastic x-ray scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000204	small-angle X-ray scattering	skos:exactMatch	fix:0000223	small-angle X-ray scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000204	small-angle X-ray scattering	skos:exactMatch	goldbook:09203	small-angle X-ray scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000207	wide-angle X-ray scattering	skos:exactMatch	fix:0001128	wide-angle X-ray scattering	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000209	reflectometry	skos:exactMatch	panet:01121	reflectometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000210	neutron reflectometry	skos:exactMatch	panet:01239	neutron reflectometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000219	X-ray reflectometry	skos:exactMatch	goldbook:09214	X-ray reflectometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000223	ellipsometry	skos:exactMatch	goldbook:09197	ellipsometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000223	ellipsometry	skos:exactMatch	panet:01255	ellipsometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000228	spectroscopy	skos:exactMatch	fix:0000003	spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000228	spectroscopy	skos:exactMatch	goldbook:S05848	spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000228	spectroscopy	skos:exactMatch	panet:01125	spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000233	atomic spectroscopy	skos:exactMatch	goldbook:08216	atomic spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000234	atomic absorption spectroscopy	skos:exactMatch	goldbook:08451	atomic absorption spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000239	graphite furnace atomic absorption spectrometry	skos:exactMatch	fix:0000951	graphite furnace atomic absorption spectrometry	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000251	atomic emission spectroscopy	skos:exactMatch	goldbook:08452	atomic emission spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000255	flame atomic emission spectroscopy	skos:exactMatch	fix:0000928	flame atomic emission spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000258	laser-induced breakdown spectroscopy	skos:exactMatch	goldbook:08500	laser induced breakdown spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000279	atomic fluorescence spectroscopy	skos:exactMatch	goldbook:08454	atomic fluorescence spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000282	flame atomic fluorescence spectroscopy	skos:exactMatch	fix:0000930	flame atomic fluorescence spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000287	fluorescence spectroscopy	skos:exactMatch	fix:0000028	fluorescence spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000288	fluorescence correlation spectroscopy	skos:exactMatch	fix:0000352	fluorescence correlation spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000297	X-ray spectroscopy	skos:exactMatch	fix:0000019	X-ray spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000297	X-ray spectroscopy	skos:exactMatch	goldbook:X06718	X-ray spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000297	X-ray spectroscopy	skos:exactMatch	panet:01156	x-ray spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000298	X-ray absorption spectroscopy	skos:exactMatch	fix:0000107	X-ray absorption spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000298	X-ray absorption spectroscopy	skos:exactMatch	panet:01196	x-ray absorption spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000299	X-ray absorption fine structure spectroscopy	skos:exactMatch	goldbook:09212	X-ray absorption fine structure spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000300	extended X-ray absorption fine structure spectroscopy	skos:exactMatch	goldbook:09198	extended X-ray absorption fine structure spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000303	surface extended X-ray absorption fine structure spectroscopy	skos:exactMatch	goldbook:09206	surface extended X-ray absorption fine structure spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000307	X-ray emission spectroscopy	skos:exactMatch	fix:0000100	X-ray emission spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000307	X-ray emission spectroscopy	skos:exactMatch	panet:01200	x-ray emission spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000311	particle-induced X-ray emission spectroscopy	skos:exactMatch	fix:0000101	particle-induced X-ray emission spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000313	electron probe X-ray microanalysis	skos:exactMatch	goldbook:E02007	electron probe X-ray microanalysis	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000320	total reflection X-ray fluorescence spectroscopy	skos:exactMatch	goldbook:09211	total reflection X-ray fluorescence spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
chmo:0000323	circular dichroism spectroscopy	skos:exactMatch	fix:0000043	circular dichroism spectroscopy	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	2026-05-11
